站点,日期,时间,纬度,经度,风向,风速,浪高,周期,修正风向,修正风速,修正浪高,修正周期,1小时前修正风向,1小时前修正风速,1小时前修正浪高,1小时前修正周期,2小时前修正风向,2小时前修正风速,2小时前修正浪高,2小时前修正周期
NJI,1,12,27.5N,121.1E,178,3,0.9,8,178,3,0.9,8,130,2.1,0.8,7.2,141,1,0.7,7.4
NJI,1,13,27.5N,121.1E,183,2,0.9,8.4,183,2,0.9,8.4,178,3,0.9,8,130,2.1,0.8,7.2
NJI,1,14,27.5N,121.1E,133,1.6,1,8.4,133,1.6,1,8.4,183,2,0.9,8.4,178,3,0.9,8
NJI,1,15,27.5N,121.1E,147,3.4,1,9.5,147,3.4,1,9.5,133,1.6,1,8.4,183,2,0.9,8.4
NJI,1,16,27.5N,121.1E,132,2.9,1.3,9.7,132,2.9,1.3,9.7,147,3.4,1,9.5,133,1.6,1,8.4
NJI,1,17,27.5N,121.1E,144,4.9,1.1,8.6,144,4.9,1.1,8.6,132,2.9,1.3,9.7,147,3.4,1,9.5
NJI,1,18,27.5N,121.1E,134,5.3,1.3,8.8,134,5.3,1.3,8.8,144,4.9,1.1,8.6,132,2.9,1.3,9.7
NJI,1,19,27.5N,121.1E,148,3.8,1.1,8.3,148,3.8,1.1,8.3,134,5.3,1.3,8.8,144,4.9,1.1,8.6
NJI,1,20,27.5N,121.1E,126,3.3,1.2,8.5,126,3.3,1.2,8.5,148,3.8,1.1,8.3,134,5.3,1.3,8.8
NJI,1,21,27.5N,121.1E,112,3,1.2,8.2,112,3,1.2,8.2,126,3.3,1.2,8.5,148,3.8,1.1,8.3
NJI,1,22,27.5N,121.1E,161,2.1,1.3,8.6,161,2.1,1.3,8.6,112,3,1.2,8.2,126,3.3,1.2,8.5
NJI,1,23,27.5N,121.1E,186,2.1,1.4,9.8,186,2.1,1.4,9.8,161,2.1,1.3,8.6,112,3,1.2,8.2
NJI,2,0,27.5N,121.1E,284,1,1.4,9,284,1,1.4,9,186,2.1,1.4,9.8,161,2.1,1.3,8.6
NJI,2,1,27.5N,121.1E,999,0,1.4,9.7,164,0,1.4,9.7,284,1,1.4,9,186,2.1,1.4,9.8
NJI,2,2,27.5N,121.1E,999,0,1.4,9.6,104,0,1.4,9.6,164,0,1.4,9.7,284,1,1.4,9
NJI,2,3,27.5N,121.1E,45,2,1.4,9.4,45,2,1.4,9.4,104,0,1.4,9.6,164,0,1.4,9.7
NJI,2,4,27.5N,121.1E,36,1.4,1.2,9.5,36,1.4,1.2,9.5,45,2,1.4,9.4,104,0,1.4,9.6
NJI,2,5,27.5N,121.1E,144,0.5,1.3,9.3,144,0.5,1.3,9.3,36,1.4,1.2,9.5,45,2,1.4,9.4
NJI,2,6,27.5N,121.1E,999,0,1.4,9.5,86,0,1.4,9.5,144,0.5,1.3,9.3,36,1.4,1.2,9.5
NJI,2,7,27.5N,121.1E,29,2.7,1.4,8.7,29,2.7,1.4,8.7,86,0,1.4,9.5,144,0.5,1.3,9.3
NJI,2,8,27.5N,121.1E,5,0.5,1.3,8.7,5,0.5,1.3,8.7,29,2.7,1.4,8.7,86,0,1.4,9.5
NJI,2,9,27.5N,121.1E,60,0.8,1.3,8.5,60,0.8,1.3,8.5,5,0.5,1.3,8.7,29,2.7,1.4,8.7
NJI,2,10,27.5N,121.1E,351,3.1,1.4,8.9,351,3.1,1.4,8.9,60,0.8,1.3,8.5,5,0.5,1.3,8.7
NJI,2,11,27.5N,121.1E,188,1,1.4,8.9,188,1,1.4,8.9,351,3.1,1.4,8.9,60,0.8,1.3,8.5
NJI,2,12,27.5N,121.1E,54,2.6,1.6,9.4,54,2.6,1.6,9.4,188,1,1.4,8.9,351,3.1,1.4,8.9
NJI,2,13,27.5N,121.1E,132,2.4,1.4,9.9,132,2.4,1.4,9.9,54,2.6,1.6,9.4,188,1,1.4,8.9
NJI,2,14,27.5N,121.1E,204,1.5,1.4,9.1,204,1.5,1.4,9.1,132,2.4,1.4,9.9,54,2.6,1.6,9.4
NJI,2,15,27.5N,121.1E,116,1.1,1.5,8.8,116,1.1,1.5,8.8,204,1.5,1.4,9.1,132,2.4,1.4,9.9
NJI,2,16,27.5N,121.1E,188,2.7,1.4,9.4,188,2.7,1.4,9.4,116,1.1,1.5,8.8,204,1.5,1.4,9.1
NJI,2,17,27.5N,121.1E,171,3.1,1.4,9,171,3.1,1.4,9,188,2.7,1.4,9.4,116,1.1,1.5,8.8
NJI,2,18,27.5N,121.1E,185,3.6,1.4,8.1,185,3.6,1.4,8.1,171,3.1,1.4,9,188,2.7,1.4,9.4
NJI,2,19,27.5N,121.1E,215,2.5,1.4,7.8,215,2.5,1.4,7.8,185,3.6,1.4,8.1,171,3.1,1.4,9
NJI,2,20,27.5N,121.1E,239,3.5,1.3,8.5,239,3.5,1.3,8.5,215,2.5,1.4,7.8,185,3.6,1.4,8.1
NJI,2,21,27.5N,121.1E,231,3.3,1.4,8.4,231,3.3,1.4,8.4,239,3.5,1.3,8.5,215,2.5,1.4,7.8
NJI,2,22,27.5N,121.1E,232,2.8,1.6,8.8,232,2.8,1.6,8.8,231,3.3,1.4,8.4,239,3.5,1.3,8.5
NJI,2,23,27.5N,121.1E,237,5.2,1.5,7.8,237,5.2,1.5,7.8,232,2.8,1.6,8.8,231,3.3,1.4,8.4
NJI,3,0,27.5N,121.1E,231,4.7,1.7,8.4,231,4.7,1.7,8.4,237,5.2,1.5,7.8,232,2.8,1.6,8.8
NJI,3,1,27.5N,121.1E,233,3.4,1.8,7.7,233,3.4,1.8,7.7,231,4.7,1.7,8.4,237,5.2,1.5,7.8
NJI,3,2,27.5N,121.1E,239,4.3,1.6,7.2,239,4.3,1.6,7.2,233,3.4,1.8,7.7,231,4.7,1.7,8.4
NJI,3,3,27.5N,121.1E,234,5,1.5,7.6,234,5,1.5,7.6,239,4.3,1.6,7.2,233,3.4,1.8,7.7
NJI,3,4,27.5N,121.1E,252,5.6,1.4,7.2,252,5.6,1.4,7.2,234,5,1.5,7.6,239,4.3,1.6,7.2
NJI,3,5,27.5N,121.1E,241,5.2,1.5,7.5,241,5.2,1.5,7.5,252,5.6,1.4,7.2,234,5,1.5,7.6
NJI,3,6,27.5N,121.1E,234,6,1.6,6.8,234,6,1.6,6.8,241,5.2,1.5,7.5,252,5.6,1.4,7.2
NJI,3,7,27.5N,121.1E,238,4.3,1.6,6.2,238,4.3,1.6,6.2,234,6,1.6,6.8,241,5.2,1.5,7.5
NJI,3,8,27.5N,121.1E,242,5.5,1.8,6.8,242,5.5,1.8,6.8,238,4.3,1.6,6.2,234,6,1.6,6.8
NJI,3,9,27.5N,121.1E,237,6.8,1.9,7.2,237,6.8,1.9,7.2,242,5.5,1.8,6.8,238,4.3,1.6,6.2
NJI,3,10,27.5N,121.1E,244,6.8,1.9,7.6,244,6.8,1.9,7.6,237,6.8,1.9,7.2,242,5.5,1.8,6.8
NJI,3,11,27.5N,121.1E,241,4.9,1.9,7.7,241,4.9,1.9,7.7,244,6.8,1.9,7.6,237,6.8,1.9,7.2
NJI,3,12,27.5N,121.1E,242,5.1,1.7,7.6,242,5.1,1.7,7.6,241,4.9,1.9,7.7,244,6.8,1.9,7.6
NJI,3,13,27.5N,121.1E,243,3.2,1.7,7.6,243,3.2,1.7,7.6,242,5.1,1.7,7.6,241,4.9,1.9,7.7
NJI,3,14,27.5N,121.1E,225,5,1.6,6.9,225,5,1.6,6.9,243,3.2,1.7,7.6,242,5.1,1.7,7.6
NJI,3,15,27.5N,121.1E,233,5.6,1.6,6.8,233,5.6,1.6,6.8,225,5,1.6,6.9,243,3.2,1.7,7.6
NJI,3,16,27.5N,121.1E,239,4.3,1.7,6.7,239,4.3,1.7,6.7,233,5.6,1.6,6.8,225,5,1.6,6.9
NJI,3,17,27.5N,121.1E,238,6.8,1.7,6.9,238,6.8,1.7,6.9,239,4.3,1.7,6.7,233,5.6,1.6,6.8
NJI,3,18,27.5N,121.1E,241,6.3,1.8,6.6,241,6.3,1.8,6.6,238,6.8,1.7,6.9,239,4.3,1.7,6.7
NJI,3,19,27.5N,121.1E,241,7.3,1.8,6.9,241,7.3,1.8,6.9,241,6.3,1.8,6.6,238,6.8,1.7,6.9
NJI,3,20,27.5N,121.1E,243,6.3,1.8,6.5,243,6.3,1.8,6.5,241,7.3,1.8,6.9,241,6.3,1.8,6.6
NJI,3,21,27.5N,121.1E,244,7,1.8,6.4,244,7,1.8,6.4,243,6.3,1.8,6.5,241,7.3,1.8,6.9
NJI,3,22,27.5N,121.1E,240,6.2,1.8,6.3,240,6.2,1.8,6.3,244,7,1.8,6.4,243,6.3,1.8,6.5
NJI,3,23,27.5N,121.1E,239,7.5,1.9,6.8,239,7.5,1.9,6.8,240,6.2,1.8,6.3,244,7,1.8,6.4
NJI,4,0,27.5N,121.1E,236,9.4,2,6.5,236,9.4,2,6.5,239,7.5,1.9,6.8,240,6.2,1.8,6.3
NJI,4,1,27.5N,121.1E,241,8.5,1.8,6.5,241,8.5,1.8,6.5,236,9.4,2,6.5,239,7.5,1.9,6.8
NJI,4,2,27.5N,121.1E,246,8.2,1.8,6.8,246,8.2,1.8,6.8,241,8.5,1.8,6.5,236,9.4,2,6.5
NJI,4,3,27.5N,121.1E,245,3.2,1.9,6.8,245,3.2,1.9,6.8,246,8.2,1.8,6.8,241,8.5,1.8,6.5
NJI,4,4,27.5N,121.1E,230,2.9,1.8,6.7,230,2.9,1.8,6.7,245,3.2,1.9,6.8,246,8.2,1.8,6.8
NJI,4,5,27.5N,121.1E,238,6.6,1.8,6.5,238,6.6,1.8,6.5,230,2.9,1.8,6.7,245,3.2,1.9,6.8
NJI,4,6,27.5N,121.1E,235,9.9,1.7,6.4,235,9.9,1.7,6.4,238,6.6,1.8,6.5,230,2.9,1.8,6.7
NJI,4,7,27.5N,121.1E,243,10.2,1.7,6.7,243,10.2,1.7,6.7,235,9.9,1.7,6.4,238,6.6,1.8,6.5
NJI,4,8,27.5N,121.1E,243,10,1.7,6.5,243,10,1.7,6.5,243,10.2,1.7,6.7,235,9.9,1.7,6.4
NJI,4,9,27.5N,121.1E,249,7.9,1.6,6.4,249,7.9,1.6,6.4,243,10,1.7,6.5,243,10.2,1.7,6.7
NJI,4,10,27.5N,121.1E,243,5.2,1.7,6.8,243,5.2,1.7,6.8,249,7.9,1.6,6.4,243,10,1.7,6.5
NJI,4,11,27.5N,121.1E,240,5.5,1.7,6.7,240,5.5,1.7,6.7,243,5.2,1.7,6.8,249,7.9,1.6,6.4
NJI,4,12,27.5N,121.1E,235,4.7,1.6,6.7,235,4.7,1.6,6.7,240,5.5,1.7,6.7,243,5.2,1.7,6.8
NJI,4,13,27.5N,121.1E,244,5,1.7,6.7,244,5,1.7,6.7,235,4.7,1.6,6.7,240,5.5,1.7,6.7
NJI,4,14,27.5N,121.1E,238,5.3,1.8,7.2,238,5.3,1.8,7.2,244,5,1.7,6.7,235,4.7,1.6,6.7
NJI,4,15,27.5N,121.1E,239,4.4,1.8,6.5,239,4.4,1.8,6.5,238,5.3,1.8,7.2,244,5,1.7,6.7
NJI,4,16,27.5N,121.1E,232,6,1.9,6.9,232,6,1.9,6.9,239,4.4,1.8,6.5,238,5.3,1.8,7.2
NJI,4,17,27.5N,121.1E,237,5.3,1.7,6.4,237,5.3,1.7,6.4,232,6,1.9,6.9,239,4.4,1.8,6.5
NJI,4,18,27.5N,121.1E,236,7.1,1.8,6.6,236,7.1,1.8,6.6,237,5.3,1.7,6.4,232,6,1.9,6.9
NJI,4,19,27.5N,121.1E,242,7.6,2,6.8,242,7.6,2,6.8,236,7.1,1.8,6.6,237,5.3,1.7,6.4
NJI,4,20,27.5N,121.1E,244,8.2,2,6.9,244,8.2,2,6.9,242,7.6,2,6.8,236,7.1,1.8,6.6
NJI,4,21,27.5N,121.1E,238,6.4,1.8,6.7,238,6.4,1.8,6.7,244,8.2,2,6.9,242,7.6,2,6.8
NJI,4,22,27.5N,121.1E,242,8.3,1.9,6.5,242,8.3,1.9,6.5,238,6.4,1.8,6.7,244,8.2,2,6.9
NJI,4,23,27.5N,121.1E,247,5.3,1.8,6.4,247,5.3,1.8,6.4,242,8.3,1.9,6.5,238,6.4,1.8,6.7
NJI,5,0,27.5N,121.1E,235,5.5,1.8,6.6,235,5.5,1.8,6.6,247,5.3,1.8,6.4,242,8.3,1.9,6.5
NJI,5,1,27.5N,121.1E,243,6.9,1.7,6.9,243,6.9,1.7,6.9,235,5.5,1.8,6.6,247,5.3,1.8,6.4
NJI,5,2,27.5N,121.1E,246,5.3,1.6,6.6,246,5.3,1.6,6.6,243,6.9,1.7,6.9,235,5.5,1.8,6.6
NJI,5,3,27.5N,121.1E,253,3.7,1.5,6.5,253,3.7,1.5,6.5,246,5.3,1.6,6.6,243,6.9,1.7,6.9
NJI,5,4,27.5N,121.1E,274,2.7,1.5,6.7,274,2.7,1.5,6.7,253,3.7,1.5,6.5,246,5.3,1.6,6.6
NJI,5,5,27.5N,121.1E,215,1.7,1.4,6.6,215,1.7,1.4,6.6,274,2.7,1.5,6.7,253,3.7,1.5,6.5
NJI,5,6,27.5N,121.1E,242,4.3,1.5,6.6,242,4.3,1.5,6.6,215,1.7,1.4,6.6,274,2.7,1.5,6.7
NJI,5,7,27.5N,121.1E,236,4.1,1.5,6.2,236,4.1,1.5,6.2,242,4.3,1.5,6.6,215,1.7,1.4,6.6
NJI,5,8,27.5N,121.1E,242,6.5,1.6,6.2,242,6.5,1.6,6.2,236,4.1,1.5,6.2,242,4.3,1.5,6.6
NJI,5,9,27.5N,121.1E,239,7.7,1.7,6,239,7.7,1.7,6,242,6.5,1.6,6.2,236,4.1,1.5,6.2
NJI,5,10,27.5N,121.1E,238,6.6,1.8,5.8,238,6.6,1.8,5.8,239,7.7,1.7,6,242,6.5,1.6,6.2
NJI,5,11,27.5N,121.1E,243,7.8,1.7,5.9,243,7.8,1.7,5.9,238,6.6,1.8,5.8,239,7.7,1.7,6
NJI,5,12,27.5N,121.1E,241,8.7,1.7,6.1,241,8.7,1.7,6.1,243,7.8,1.7,5.9,238,6.6,1.8,5.8
NJI,5,13,27.5N,121.1E,240,9,1.8,6.2,240,9,1.8,6.2,241,8.7,1.7,6.1,243,7.8,1.7,5.9
NJI,5,14,27.5N,121.1E,241,7.7,1.8,6.2,241,7.7,1.8,6.2,240,9,1.8,6.2,241,8.7,1.7,6.1
NJI,5,15,27.5N,121.1E,238,6.4,1.8,6.2,238,6.4,1.8,6.2,241,7.7,1.8,6.2,240,9,1.8,6.2
NJI,5,16,27.5N,121.1E,226,4.8,1.8,6.2,226,4.8,1.8,6.2,238,6.4,1.8,6.2,241,7.7,1.8,6.2
NJI,5,17,27.5N,121.1E,238,6.5,1.7,6.4,238,6.5,1.7,6.4,226,4.8,1.8,6.2,238,6.4,1.8,6.2
NJI,5,18,27.5N,121.1E,240,5.4,1.7,6.4,240,5.4,1.7,6.4,238,6.5,1.7,6.4,226,4.8,1.8,6.2
NJI,5,19,27.5N,121.1E,234,7.4,1.8,6.1,234,7.4,1.8,6.1,240,5.4,1.7,6.4,238,6.5,1.7,6.4
NJI,5,20,27.5N,121.1E,236,9.6,1.9,6.4,236,9.6,1.9,6.4,234,7.4,1.8,6.1,240,5.4,1.7,6.4
NJI,5,21,27.5N,121.1E,235,7.8,1.8,6.3,235,7.8,1.8,6.3,236,9.6,1.9,6.4,234,7.4,1.8,6.1
NJI,5,22,27.5N,121.1E,243,7.8,1.8,6.5,243,7.8,1.8,6.5,235,7.8,1.8,6.3,236,9.6,1.9,6.4
NJI,5,23,27.5N,121.1E,242,9.3,1.7,6.3,242,9.3,1.7,6.3,243,7.8,1.8,6.5,235,7.8,1.8,6.3
NJI,6,0,27.5N,121.1E,240,7.1,1.7,5.9,240,7.1,1.7,5.9,242,9.3,1.7,6.3,243,7.8,1.8,6.5
NJI,6,1,27.5N,121.1E,236,7,1.4,6,236,7,1.4,6,240,7.1,1.7,5.9,242,9.3,1.7,6.3
NJI,6,2,27.5N,121.1E,242,9.3,1.5,6.2,242,9.3,1.5,6.2,236,7,1.4,6,240,7.1,1.7,5.9
NJI,6,3,27.5N,121.1E,250,4.9,1.4,6.4,250,4.9,1.4,6.4,242,9.3,1.5,6.2,236,7,1.4,6
NJI,6,4,27.5N,121.1E,257,2.4,1.5,6.4,257,2.4,1.5,6.4,250,4.9,1.4,6.4,242,9.3,1.5,6.2
NJI,6,5,27.5N,121.1E,237,2.7,1.5,6.4,237,2.7,1.5,6.4,257,2.4,1.5,6.4,250,4.9,1.4,6.4
NJI,6,6,27.5N,121.1E,236,3.4,1.3,5.9,236,3.4,1.3,5.9,237,2.7,1.5,6.4,257,2.4,1.5,6.4
NJI,6,7,27.5N,121.1E,229,3,1.3,6.3,229,3,1.3,6.3,236,3.4,1.3,5.9,237,2.7,1.5,6.4
NJI,6,8,27.5N,121.1E,239,5.7,1.3,6.2,239,5.7,1.3,6.2,229,3,1.3,6.3,236,3.4,1.3,5.9
NJI,6,9,27.5N,121.1E,236,5.7,1.4,6.2,236,5.7,1.4,6.2,239,5.7,1.3,6.2,229,3,1.3,6.3
NJI,6,10,27.5N,121.1E,239,7.4,1.4,5.9,239,7.4,1.4,5.9,236,5.7,1.4,6.2,239,5.7,1.3,6.2
NJI,6,11,27.5N,121.1E,236,7.7,1.4,5.7,236,7.7,1.4,5.7,239,7.4,1.4,5.9,236,5.7,1.4,6.2
NJI,6,12,27.5N,121.1E,231,6.2,1.3,5.4,231,6.2,1.3,5.4,236,7.7,1.4,5.7,239,7.4,1.4,5.9
NJI,6,13,27.5N,121.1E,231,7,1.4,5.4,231,7,1.4,5.4,231,6.2,1.3,5.4,236,7.7,1.4,5.7
NJI,6,14,27.5N,121.1E,233,7.8,1.4,5.4,233,7.8,1.4,5.4,231,7,1.4,5.4,231,6.2,1.3,5.4
NJI,6,15,27.5N,121.1E,230,6.3,1.5,5.6,230,6.3,1.5,5.6,233,7.8,1.4,5.4,231,7,1.4,5.4
NJI,6,16,27.5N,121.1E,224,8,1.6,5.4,224,8,1.6,5.4,230,6.3,1.5,5.6,233,7.8,1.4,5.4
NJI,6,17,27.5N,121.1E,222,7.1,1.6,5.6,222,7.1,1.6,5.6,224,8,1.6,5.4,230,6.3,1.5,5.6
NJI,6,18,27.5N,121.1E,234,9.5,1.4,5.5,234,9.5,1.4,5.5,222,7.1,1.6,5.6,224,8,1.6,5.4
NJI,6,19,27.5N,121.1E,241,7.6,1.3,5.7,241,7.6,1.3,5.7,234,9.5,1.4,5.5,222,7.1,1.6,5.6
NJI,6,20,27.5N,121.1E,244,5.9,1.3,6,244,5.9,1.3,6,241,7.6,1.3,5.7,234,9.5,1.4,5.5
NJI,6,21,27.5N,121.1E,239,4.1,1.4,6.1,239,4.1,1.4,6.1,244,5.9,1.3,6,241,7.6,1.3,5.7
NJI,6,22,27.5N,121.1E,225,4,1.4,6,225,4,1.4,6,239,4.1,1.4,6.1,244,5.9,1.3,6
NJI,6,23,27.5N,121.1E,237,5,1.4,6.2,237,5,1.4,6.2,225,4,1.4,6,239,4.1,1.4,6.1
NJI,7,0,27.5N,121.1E,237,6.5,1.3,6.2,237,6.5,1.3,6.2,237,5,1.4,6.2,225,4,1.4,6
NJI,7,1,27.5N,121.1E,225,4.7,1.2,5.7,225,4.7,1.2,5.7,237,6.5,1.3,6.2,237,5,1.4,6.2
NJI,7,2,27.5N,121.1E,222,4.9,1.1,6.2,222,4.9,1.1,6.2,225,4.7,1.2,5.7,237,6.5,1.3,6.2
NJI,7,3,27.5N,121.1E,216,5.8,1.2,5.7,216,5.8,1.2,5.7,222,4.9,1.1,6.2,225,4.7,1.2,5.7
NJI,7,4,27.5N,121.1E,206,5.6,1.1,5.5,206,5.6,1.1,5.5,216,5.8,1.2,5.7,222,4.9,1.1,6.2
NJI,7,5,27.5N,121.1E,218,5.2,1.3,5.5,218,5.2,1.3,5.5,206,5.6,1.1,5.5,216,5.8,1.2,5.7
NJI,7,6,27.5N,121.1E,220,4.7,1.2,4.9,220,4.7,1.2,4.9,218,5.2,1.3,5.5,206,5.6,1.1,5.5
NJI,7,7,27.5N,121.1E,216,6.6,1.1,5.6,216,6.6,1.1,5.6,220,4.7,1.2,4.9,218,5.2,1.3,5.5
NJI,7,8,27.5N,121.1E,223,6.6,1,5.4,223,6.6,1,5.4,216,6.6,1.1,5.6,220,4.7,1.2,4.9
NJI,7,9,27.5N,121.1E,225,6.1,1,5.6,225,6.1,1,5.6,223,6.6,1,5.4,216,6.6,1.1,5.6
NJI,7,10,27.5N,121.1E,222,5.6,1.2,5.5,222,5.6,1.2,5.5,225,6.1,1,5.6,223,6.6,1,5.4
NJI,7,11,27.5N,121.1E,225,5.9,1.1,5.4,225,5.9,1.1,5.4,222,5.6,1.2,5.5,225,6.1,1,5.6
NJI,7,12,27.5N,121.1E,222,6.3,1.1,5.4,222,6.3,1.1,5.4,225,5.9,1.1,5.4,222,5.6,1.2,5.5
NJI,7,13,27.5N,121.1E,231,6.2,1.1,5.5,231,6.2,1.1,5.5,222,6.3,1.1,5.4,225,5.9,1.1,5.4
NJI,7,14,27.5N,121.1E,230,5.3,0.9,5,230,5.3,0.9,5,231,6.2,1.1,5.5,222,6.3,1.1,5.4
NJI,7,15,27.5N,121.1E,221,5.4,0.9,5.4,221,5.4,0.9,5.4,230,5.3,0.9,5,231,6.2,1.1,5.5
NJI,7,16,27.5N,121.1E,223,5.9,0.9,5.4,223,5.9,0.9,5.4,221,5.4,0.9,5.4,230,5.3,0.9,5
NJI,7,17,27.5N,121.1E,217,5.8,0.9,5.4,217,5.8,0.9,5.4,223,5.9,0.9,5.4,221,5.4,0.9,5.4
NJI,7,18,27.5N,121.1E,218,5.5,0.9,5.4,218,5.5,0.9,5.4,217,5.8,0.9,5.4,223,5.9,0.9,5.4
NJI,7,19,27.5N,121.1E,218,6.1,0.9,5.7,218,6.1,0.9,5.7,218,5.5,0.9,5.4,217,5.8,0.9,5.4
NJI,7,20,27.5N,121.1E,217,5.2,0.9,5.2,217,5.2,0.9,5.2,218,6.1,0.9,5.7,218,5.5,0.9,5.4
NJI,7,21,27.5N,121.1E,208,6.3,1,5.3,208,6.3,1,5.3,217,5.2,0.9,5.2,218,6.1,0.9,5.7
NJI,7,22,27.5N,121.1E,205,8.2,1,5.3,205,8.2,1,5.3,208,6.3,1,5.3,217,5.2,0.9,5.2
NJI,7,23,27.5N,121.1E,206,9.4,1.1,5.2,206,9.4,1.1,5.2,205,8.2,1,5.3,208,6.3,1,5.3
NJI,8,0,27.5N,121.1E,209,8.1,1,4.8,209,8.1,1,4.8,206,9.4,1.1,5.2,205,8.2,1,5.3
NJI,8,1,27.5N,121.1E,206,7.5,1,4.9,206,7.5,1,4.9,209,8.1,1,4.8,206,9.4,1.1,5.2
NJI,8,2,27.5N,121.1E,210,7.4,1.1,4.7,210,7.4,1.1,4.7,206,7.5,1,4.9,209,8.1,1,4.8
NJI,8,3,27.5N,121.1E,217,6.4,1,5,217,6.4,1,5,210,7.4,1.1,4.7,206,7.5,1,4.9
NJI,8,4,27.5N,121.1E,219,6.3,1,4.9,219,6.3,1,4.9,217,6.4,1,5,210,7.4,1.1,4.7
NJI,8,5,27.5N,121.1E,221,5.9,0.9,5.3,221,5.9,0.9,5.3,219,6.3,1,4.9,217,6.4,1,5
NJI,8,6,27.5N,121.1E,229,6.1,0.9,5.5,229,6.1,0.9,5.5,221,5.9,0.9,5.3,219,6.3,1,4.9
NJI,8,7,27.5N,121.1E,228,4.6,0.9,6.4,228,4.6,0.9,6.4,229,6.1,0.9,5.5,221,5.9,0.9,5.3
NJI,8,8,27.5N,121.1E,223,4.3,0.9,6.6,223,4.3,0.9,6.6,228,4.6,0.9,6.4,229,6.1,0.9,5.5
NJI,8,9,27.5N,121.1E,215,4.9,0.9,6.7,215,4.9,0.9,6.7,223,4.3,0.9,6.6,228,4.6,0.9,6.4
NJI,8,10,27.5N,121.1E,206,4.4,0.9,6.2,206,4.4,0.9,6.2,215,4.9,0.9,6.7,223,4.3,0.9,6.6
NJI,8,11,27.5N,121.1E,204,5.2,0.9,5.9,204,5.2,0.9,5.9,206,4.4,0.9,6.2,215,4.9,0.9,6.7
NJI,8,12,27.5N,121.1E,213,5.7,0.9,6.2,213,5.7,0.9,6.2,204,5.2,0.9,5.9,206,4.4,0.9,6.2
NJI,8,13,27.5N,121.1E,215,5.2,0.9,6.2,215,5.2,0.9,6.2,213,5.7,0.9,6.2,204,5.2,0.9,5.9
NJI,8,14,27.5N,121.1E,216,5.2,1,7,216,5.2,1,7,215,5.2,0.9,6.2,213,5.7,0.9,6.2
NJI,8,15,27.5N,121.1E,213,5.1,0.9,6.2,213,5.1,0.9,6.2,216,5.2,1,7,215,5.2,0.9,6.2
NJI,8,16,27.5N,121.1E,188,5.5,0.9,6.1,188,5.5,0.9,6.1,213,5.1,0.9,6.2,216,5.2,1,7
NJI,8,17,27.5N,121.1E,190,6.4,0.9,6.3,190,6.4,0.9,6.3,188,5.5,0.9,6.1,213,5.1,0.9,6.2
NJI,8,18,27.5N,121.1E,206,7,0.9,6.7,206,7,0.9,6.7,190,6.4,0.9,6.3,188,5.5,0.9,6.1
NJI,8,19,27.5N,121.1E,201,6.7,0.9,6.6,201,6.7,0.9,6.6,206,7,0.9,6.7,190,6.4,0.9,6.3
NJI,8,20,27.5N,121.1E,189,4.7,0.9,7.6,189,4.7,0.9,7.6,201,6.7,0.9,6.6,206,7,0.9,6.7
NJI,8,21,27.5N,121.1E,176,5.6,0.9,8.3,176,5.6,0.9,8.3,189,4.7,0.9,7.6,201,6.7,0.9,6.6
NJI,8,22,27.5N,121.1E,189,4.5,0.8,8,189,4.5,0.8,8,176,5.6,0.9,8.3,189,4.7,0.9,7.6
